8, 120, -24, -124
8, 145, 51, -116
8, 168, 105, -70
8, 192, -88, 0
8, 216, 8, 70
8, 234, 0, 108
8, 244, 64, 121
8, 7, -21, 125
8, 23, -67, 107
8, 42, -108, 65
8, 67, -126, -9
8, 87, -107, -67
8, 113, -45, -118
8, 142, 42, -119
8, 166, 102, -75
8, 193, 110, 3
8, 219, 8, 78
8, 242, 0, 119
8, 12, -36, 121
8, 43, -110, 62
8, 70, -125, -18
8, 94, -94, -85
8, 118, -30, -123
8, 148, 59, -112
8, 172, 112, -59
8, 201, 0, 27
8, 226, -64, 94
8, 246, 4, 123
8, 13, -39, 120
8, 35, -96, 82
8, 59, -126, 15
8, 86, -108, -65
8, 109, -57, -113
8, 137, 27, -123
8, 163, 96, -82
8, 182, 123, -30
8, 213, 0, 62
8, 238, -1, 114
8, 6, -18, 125
8, 31, -87, 91
8, 62, -126, 6
8, 86, -108, -65
8, 113, -45, -118
8, 139, 33, -122
8, 161, 91, -87
8, 183, 123, -27
8, 217, 0, 73
8, 242, 1, 119
8, 4, -12, 126
8, 29, -82, 96
8, 56, -124, 24
8, 81, -116, -51
8, 108, -59, -112
8, 138, 30, -123
8, 163, 96, -82
8, 183, 123, -27
8, 215, 0, 67
8, 237, 0, 113
8, 6, -18, 125
8, 34, -94, 85
8, 63, -126, 3
8, 91, -100, -78
8, 119, -27, -123
8, 140, 36, -121
8, 164, 98, -80
8, 188, 126, -12
8, 212, 1, 59
8, 239, -128, 116
8, 12, -36, 121
8, 43, -110, 62
8, 77, -120, -39
8, 105, -67, -107
8, 135, 21, -125
8, 157, 82, -96
8, 179, 120, -39
8, 204, 0, 36
8, 232, -95, 105
8, 4, -12, 126
8, 30, -85, 94
8, 67, -126, -9
8, 94, -94, -85
8, 124, -12, -126
8, 156, 80, -98
8, 179, 120, -39
8, 199, 0, 21
8, 228, 0, 98
8, 255, 2, 126
8, 24, -70, 105
8, 51, -120, 39
8, 77, -120, -39
8, 107, -62, -110
8, 135, 21, -125
8, 166, 102, -75
8, 188, 126, -12
8, 215, 0, 67
8, 241, -1, 118
8, 12, -36, 121
8, 43, -110, 62
8, 72, -124, -24
8, 103, -73, -103
8, 136, 24, -124
8, 157, 82, -96
8, 181, 122, -33
8, 207, 1, 45
8, 236, -1, 112
8, 3, -9, 126
8, 31, -87, 91
8, 58, -125, 18
8, 86, -108, -65
8, 117, -33, -122
8, 142, 42, -119
8, 165, 100, -78
8, 188, 126, -12
8, 215, 0, 67
8, 238, 15, 114
8, 10, -30, 123
8, 34, -94, 85
8, 62, -126, 6
8, 88, -105, -70
8, 115, -39, -120
8, 141, 39, -120
8, 166, 102, -75
8, 187, 126, -15
8, 215, 4, 67
8, 237, 0, 113
8, 4, -12, 126
8, 31, -87, 91
8, 57, -125, 21
8, 88, -105, -70
8, 115, -39, -120
8, 143, 45, -118
8, 163, 96, -82
8, 183, 123, -27
8, 210, 0, 54
8, 232, 0, 105
8, 255, 0, 126
8, 24, -70, 105
8, 49, -118, 45
8, 77, -120, -39
8, 105, -67, -107
8, 131, 9, -126
8, 154, 75, -102
8, 178, 119, -42
8, 206, 0, 42
8, 227, 2, 96
8, 248, 80, 124
8, 15, -45, 118
8, 40, -105, 70
8, 59, -126, 15
8, 86, -108, -65
8, 112, -48, -117
8, 140, 36, -121
8, 163, 96, -82
8, 187, 126, -15
8, 213, 0, 62
8, 236, 31, 112
8, 6, -18, 125
8, 29, -82, 96
8, 52, -121, 36
8, 81, -116, -51
8, 109, -57, -113
8, 141, 39, -120
8, 166, 102, -75
8, 189, 126, -9
8, 214, 0, 65
8, 239, -1, 116
8, 6, -18, 125
8, 35, -96, 82
8, 61, -126, 9
8, 91, -100, -78
8, 121, -21, -125
8, 149, 62, -110
8, 173, 113, -57
8, 199, 0, 21
8, 219, 0, 78
8, 240, -1, 117
8, 6, -18, 125
8, 28, -80, 98
8, 56, -124, 24
8, 82, -114, -54
8, 114, -42, -119
8, 145, 51, -116
8, 173, 113, -57
8, 194, 64, 6
8, 216, 0, 70
8, 241, 0, 118
8, 12, -36, 121
8, 36, -98, 80
8, 65, -126, -3
8, 94, -94, -85
8, 123, -15, -126
8, 161, 91, -87
8, 185, 125, -21
8, 206, 0, 42
8, 230, 0, 102
8, 252, 4, 126
8, 19, -57, 113
8, 44, -112, 59
8, 69, -126, -15
8, 98, -85, -94
8, 127, -3, -126
8, 159, 87, -91
8, 186, 125, -18
8, 206, 0, 42
8, 230, 0, 102
8, 255, 0, 126
8, 19, -57, 113
8, 45, -113, 57
8, 71, -125, -21
8, 98, -85, -94
8, 123, -15, -126
8, 160, 89, -89
8, 182, 123, -30
8, 208, 0, 48
8, 232, -95, 105
8, 3, -9, 126
8, 23, -67, 107
8, 52, -121, 36
8, 80, -117, -48
8, 111, -51, -116
8, 141, 39, -120
8, 166, 102, -75
8, 189, 126, -9
8, 215, 0, 67
8, 238, -32, 114
8, 11, -33, 122
8, 37, -100, 78
8, 67, -126, -9
8, 94, -94, -85
8, 121, -21, -125
8, 152, 70, -105
8, 178, 119, -42
8, 201, -8, 27
8, 226, -1, 94
8, 245, -32, 122
8, 9, -27, 123
8, 29, -82, 96
8, 53, -122, 33
8, 88, -105, -70
8, 109, -57, -113
8, 134, 18, -125
8, 162, 94, -85
8, 186, 125, -18
8, 216, 0, 70
8, 235, 31, 110
8, 5, -15, 126
8, 28, -80, 98
8, 54, -123, 30
8, 81, -116, -51
8, 106, -65, -108
8, 134, 18, -125
8, 160, 89, -89
8, 185, 125, -21
8, 214, 0, 65
8, 241, 0, 118
8, 4, -12, 126
8, 31, -87, 91
8, 53, -122, 33
8, 77, -120, -39
8, 104, -70, -105
8, 133, 15, -126
8, 161, 91, -87
8, 183, 123, -27
8, 209, 0, 51
8, 237, 0, 113
8, 4, -12, 126
8, 28, -80, 98
8, 55, -123, 27
8, 82, -114, -54
8, 107, -62, -110
8, 138, 30, -123
8, 162, 94, -85
8, 183, 123, -27
8, 213, 2, 62
8, 237, 1, 113
8, 3, -9, 126
8, 29, -82, 96
8, 55, -123, 27
8, 81, -116, -51
8, 113, -45, -118
8, 140, 36, -121
8, 162, 94, -85
8, 184, 124, -24
8, 217, 0, 73
8, 241, 0, 118
8, 10, -30, 123
8, 38, -102, 75
8, 62, -126, 6
8, 88, -105, -70
8, 111, -51, -116
8, 142, 42, -119
8, 168, 105, -70
8, 192, -88, 0
8, 216, 0, 70
8, 231, -16, 103
8, 247, 0, 123
8, 5, -15, 126
8, 26, -75, 102
