16, 59, -126, 15, 31, 3
16, 205, 120, 39, 30, 9
16, 104, -70, -105, 17, 26
16, 17, -51, 116, 12, 29
16, 162, 94, -85, 23, 21
16, 63, -126, 3, 31, 0
16, 197, 126, 15, 31, 3
16, 97, -87, -91, 21, 22
16, 250, 18, 125, 4, 31
16, 132, 12, -126, 3, 31
16, 31, -87, 91, 21, 22
16, 156, 80, -98, 20, 24
16, 43, -110, 62, 27, 15
16, 180, 121, -36, 30, 9
16, 63, -126, 3, 31, 0
16, 165, 100, -78, 25, 19
16, 48, -117, 48, 29, 12
16, 164, 98, -80, 24, 20
16, 33, -91, 87, 22, 21
16, 133, 15, -126, 3, 31
16, 1, -3, 126, 0, 31
16, 101, -78, -100, 19, 25
16, 239, 51, 116, 12, 29
16, 94, -94, -85, 23, 21
16, 207, 118, 45, 29, 11
16, 69, -126, -15, 31, 3
16, 181, 122, -33, 30, 8
16, 42, -108, 65, 27, 16
16, 131, 9, -126, 2, 31
16, 246, 30, 123, 7, 30
16, 86, -108, -65, 27, 16
16, 213, 110, 62, 27, 15
16, 56, -124, 24, 31, 6
16, 171, 110, -62, 27, 15
16, 17, -51, 116, 12, 29
16, 115, -39, -120, 9, 30
16, 244, 36, 121, 9, 30
16, 95, -91, -87, 22, 21
16, 208, 117, 48, 29, 12
16, 74, -123, -30, 30, 7
16, 204, 121, 36, 30, 9
16, 67, -126, -9, 31, 2
16, 198, 125, 18, 31, 4
16, 80, -117, -48, 29, 12
16, 207, 118, 45, 29, 11
16, 98, -85, -94, 21, 23
16, 211, 113, 57, 28, 14
16, 94, -94, -85, 23, 21
16, 231, 73, 103, 18, 25
16, 102, -75, -102, 18, 25
16, 250, 18, 125, 4, 31
16, 109, -57, -113, 14, 28
16, 4, -12, 126, 3, 31
16, 96, -89, -89, 22, 22
16, 230, 75, 102, 18, 25
16, 111, -51, -116, 12, 29
16, 241, 45, 118, 11, 29
16, 90, -102, -75, 25, 18
16, 226, 85, 94, 21, 23
16, 88, -105, -70, 26, 17
16, 237, 57, 113, 14, 28
16, 90, -102, -75, 25, 18
16, 236, 59, 112, 14, 28
16, 108, -59, -112, 14, 28
16, 6, -18, 125, 4, 31
16, 120, -24, -124, 6, 31
16, 21, -62, 110, 15, 27
16, 143, 45, -118, 11, 29
16, 28, -80, 98, 20, 24
16, 151, 67, -107, 16, 26
16, 35, -96, 82, 24, 20
16, 162, 94, -85, 23, 21
16, 28, -80, 98, 20, 24
16, 148, 59, -112, 14, 28
16, 28, -80, 98, 20, 24
16, 152, 70, -105, 17, 26
16, 24, -70, 105, 17, 26
16, 130, 6, -126, 1, 31
16, 9, -27, 123, 6, 30
16, 119, -27, -123, 6, 30
16, 255, 3, 126, 0, 31
16, 118, -30, -123, 7, 30
16, 3, -9, 126, 2, 31
16, 119, -27, -123, 6, 30
16, 27, -78, 100, 19, 25
16, 173, 113, -57, 28, 14
16, 52, -121, 36, 30, 9
16, 195, 126, 9, 31, 2
16, 79, -118, -45, 29, 11
16, 245, 33, 122, 8, 30
16, 135, 21, -125, 5, 31
16, 45, -113, 57, 28, 14
16, 179, 120, -39, 30, 9
16, 81, -116, -51, 29, 12
16, 241, 45, 118, 11, 29
16, 150, 65, -108, 16, 27
16, 42, -108, 65, 27, 16
16, 191, 126, -3, 31, 0
16, 93, -96, -82, 24, 20
16, 248, 24, 124, 6, 31
16, 130, 6, -126, 1, 31
16, 30, -85, 94, 21, 23
16, 192, 127, 0, 31, 0
16, 69, -126, -15, 31, 3
16, 234, 65, 108, 16, 27
16, 134, 18, -125, 4, 31
16, 38, -102, 75, 25, 18
16, 189, 126, -9, 31, 2
16, 74, -123, -30, 30, 7
16, 221, 96, 82, 24, 20
16, 98, -85, -94, 21, 23
16, 240, 48, 117, 12, 29
16, 120, -24, -124, 6, 31
16, 7, -21, 125, 5, 31
16, 123, -15, -126, 3, 31
16, 2, -6, 126, 1, 31
16, 88, -105, -70, 26, 17
16, 224, 89, 89, 22, 22
16, 76, -121, -36, 30, 9
16, 203, 122, 33, 30, 8
16, 38, -102, 75, 25, 18
16, 151, 67, -107, 16, 26
16, 14, -42, 119, 10, 29
16, 105, -67, -107, 16, 26
16, 227, 82, 96, 20, 24
16, 65, -126, -3, 31, 0
16, 180, 121, -36, 30, 9
16, 36, -98, 80, 24, 20
16, 144, 48, -117, 12, 29
16, 246, 30, 123, 7, 30
16, 89, -103, -73, 25, 18
16, 213, 110, 62, 27, 15
16, 54, -123, 30, 30, 7
