8, 113, -45, -118
8, 136, 24, -124
8, 159, 87, -91
8, 183, 123, -27
8, 210, 64, 54
8, 235, 0, 110
8, 4, -12, 126
8, 27, -78, 100
8, 56, -124, 24
8, 77, -120, -39
8, 101, -78, -100
8, 133, 15, -126
8, 159, 87, -91
8, 179, 120, -39
8, 204, 0, 36
8, 227, -128, 96
8, 253, 2, 126
8, 20, -59, 112
8, 45, -113, 57
8, 67, -126, -9
8, 89, -103, -73
8, 113, -45, -118
8, 145, 51, -116
8, 165, 100, -78
8, 193, 110, 3
8, 213, 2, 62
8, 236, 0, 112
8, 7, -21, 125
8, 33, -91, 87
8, 56, -124, 24
8, 80, -117, -48
8, 102, -75, -102
8, 130, 6, -126
8, 152, 70, -105
8, 173, 113, -57
8, 205, 0, 39
8, 230, 24, 102
8, 250, 0, 125
8, 13, -39, 120
8, 35, -96, 82
8, 57, -125, 21
8, 81, -116, -51
8, 104, -70, -105
8, 129, 3, -126
8, 152, 70, -105
8, 174, 114, -54
8, 207, 2, 45
8, 227, -64, 96
8, 252, 0, 126
8, 17, -51, 116
8, 42, -108, 65
8, 68, -126, -12
8, 95, -91, -87
8, 113, -45, -118
8, 141, 39, -120
8, 162, 94, -85
8, 186, 125, -18
8, 211, 0, 57
8, 236, -1, 112
8, 253, 0, 126
8, 20, -59, 112
8, 45, -113, 57
8, 70, -125, -18
8, 93, -96, -82
8, 116, -36, -121
8, 143, 45, -118
8, 166, 102, -75
8, 193, 110, 3
8, 216, 0, 70
8, 240, 7, 117
8, 9, -27, 123
8, 32, -89, 89
8, 56, -124, 24
8, 83, -113, -57
8, 107, -62, -110
8, 132, 12, -126
8, 156, 80, -98
8, 176, 117, -48
8, 205, 0, 39
8, 227, -128, 96
8, 252, 4, 126
8, 20, -59, 112
8, 49, -118, 45
8, 71, -125, -21
8, 92, -98, -80
8, 119, -27, -123
8, 145, 51, -116
8, 169, 107, -67
8, 191, 126, -3
8, 214, 4, 65
8, 239, -128, 116
8, 11, -33, 122
8, 42, -108, 65
8, 80, -117, -48
8, 106, -65, -108
8, 133, 15, -126
8, 157, 82, -96
8, 176, 117, -48
8, 200, 1, 24
8, 226, 2, 94
8, 249, 0, 125
8, 14, -42, 119
8, 43, -110, 62
8, 69, -126, -15
8, 91, -100, -78
8, 120, -24, -124
8, 149, 62, -110
8, 169, 107, -67
8, 192, -88, 0
8, 213, 0, 62
8, 228, -32, 98
8, 236, -16, 112
8, 249, 0, 125
8, 13, -39, 120
8, 35, -96, 82
8, 59, -126, 15
8, 84, -112, -59
8, 110, -54, -114
8, 137, 27, -123
8, 159, 87, -91
8, 181, 122, -33
8, 206, 1, 42
8, 228, -1, 98
8, 255, 0, 126
8, 21, -62, 110
8, 48, -117, 48
8, 74, -123, -30
8, 99, -82, -96
8, 123, -15, -126
8, 152, 70, -105
8, 176, 117, -48
8, 197, 0, 15
8, 217, 0, 73
8, 238, 15, 114
8, 1, -3, 126
8, 18, -54, 114
8, 46, -114, 54
8, 72, -124, -24
8, 98, -85, -94
8, 124, -12, -126
8, 155, 78, -100
8, 173, 113, -57
8, 195, 63, 9
8, 216, 8, 70
8, 239, -128, 116
8, 14, -42, 119
8, 46, -114, 54
8, 74, -123, -30
8, 106, -65, -108
8, 137, 27, -123
8, 158, 85, -94
8, 173, 113, -57
8, 198, 0, 18
8, 217, 16, 73
8, 238, 0, 114
8, 3, -9, 126
8, 22, -65, 108
8, 49, -118, 45
8, 77, -120, -39
8, 103, -73, -103
8, 130, 6, -126
8, 154, 75, -102
8, 175, 116, -51
8, 202, 0, 30
8, 221, 4, 82
8, 238, 0, 114
8, 3, -9, 126
8, 24, -70, 105
8, 51, -120, 39
8, 81, -116, -51
8, 107, -62, -110
8, 135, 21, -125
8, 158, 85, -94
8, 178, 119, -42
8, 204, 12, 36
8, 228, -32, 98
8, 249, 0, 125
8, 15, -45, 118
8, 39, -103, 73
8, 67, -126, -9
8, 95, -91, -87
8, 119, -27, -123
8, 152, 70, -105
8, 172, 112, -59
8, 198, 0, 18
8, 218, 0, 75
8, 237, -1, 113
8, 255, 0, 126
8, 21, -62, 110
8, 45, -113, 57
8, 71, -125, -21
8, 102, -75, -102
8, 127, -3, -126
8, 152, 70, -105
8, 175, 116, -51
8, 197, 0, 15
8, 218, 0, 75
8, 237, 15, 113
8, 255, 0, 126
8, 17, -51, 116
8, 40, -105, 70
8, 67, -126, -9
8, 95, -91, -87
8, 123, -15, -126
8, 152, 70, -105
8, 177, 118, -45
8, 199, 0, 21
8, 221, 64, 82
8, 241, -128, 118
8, 10, -30, 123
8, 36, -98, 80
8, 67, -126, -9
8, 96, -89, -89
8, 127, -3, -126
8, 156, 80, -98
8, 182, 123, -30
8, 201, 0, 27
8, 224, -128, 89
8, 250, 8, 125
8, 14, -42, 119
8, 34, -94, 85
8, 56, -124, 24
8, 80, -117, -48
8, 106, -65, -108
8, 138, 30, -123
8, 164, 98, -80
8, 187, 126, -15
8, 214, 64, 65
8, 238, 1, 114
8, 4, -12, 126
8, 27, -78, 100
8, 53, -122, 33
8, 82, -114, -54
8, 109, -57, -113
8, 138, 30, -123
8, 163, 96, -82
8, 187, 126, -15
8, 214, 0, 65
8, 238, -32, 114
8, 6, -18, 125
8, 28, -80, 98
8, 53, -122, 33
8, 79, -118, -45
8, 108, -59, -112
8, 140, 36, -121
8, 162, 94, -85
8, 185, 125, -21
8, 213, 0, 62
8, 231, -1, 103
8, 255, 0, 126
8, 19, -57, 113
8, 44, -112, 59
8, 67, -126, -9
8, 94, -94, -85
8, 116, -36, -121
8, 152, 70, -105
8, 176, 117, -48
8, 197, 0, 15
8, 214, 0, 65
8, 233, 31, 107
8, 247, 0, 123
8, 11, -33, 122
8, 29, -82, 96
8, 49, -118, 45
8, 70, -125, -18
8, 96, -89, -89
8, 119, -27, -123
8, 147, 57, -113
8, 168, 105, -70
8, 195, 63, 9
8, 212, 1, 59
8, 232, 0, 105
8, 252, 4, 126
8, 19, -57, 113
8, 40, -105, 70
8, 61, -126, 9
8, 79, -118, -45
8, 102, -75, -102
8, 127, -3, -126
8, 151, 67, -107
8, 169, 107, -67
8, 188, 126, -12
8, 218, 24, 75
8, 236, 0, 112
8, 6, -18, 125
8, 25, -73, 103
8, 49, -118, 45
8, 74, -123, -30
8, 98, -85, -94
8, 123, -15, -126
8, 147, 57, -113
8, 169, 107, -67
8, 195, 63, 9
8, 214, 0, 65
8, 239, 0, 116
8, 4, -12, 126
8, 25, -73, 103
8, 47, -116, 51
8, 72, -124, -24
8, 99, -82, -96
8, 118, -30, -123
8, 147, 57, -113
8, 168, 105, -70
8, 194, 64, 6
8, 213, 0, 62
8, 237, -1, 113
8, 3, -9, 126
8, 24, -70, 105
8, 46, -114, 54
8, 70, -125, -18
8, 88, -105, -70
8, 116, -36, -121
8, 141, 39, -120
8, 164, 98, -80
8, 184, 124, -24
8, 207, 1, 45
8, 227, -1, 96
8, 249, 0, 125
8, 17, -51, 116
8, 42, -108, 65
8, 63, -126, 3
8, 84, -112, -59
8, 107, -62, -110
8, 134, 18, -125
8, 159, 87, -91
8, 180, 121, -36
8, 202, 3, 30
8, 227, 7, 96
8, 247, 0, 123
8, 17, -51, 116
8, 43, -110, 62
8, 72, -124, -24
8, 94, -94, -85
8, 122, -18, -125
8, 153, 73, -103
8, 176, 117, -48
8, 197, 0, 15
8, 221, 64, 82
8, 245, 64, 122
8, 13, -39, 120
8, 32, -89, 89
8, 54, -123, 30
8, 74, -123, -30
8, 100, -80, -98
8, 124, -12, -126
8, 152, 70, -105
8, 173, 113, -57
8, 193, 110, 3
8, 213, 2, 62
8, 239, -128, 116
8, 13, -39, 120
8, 42, -108, 65
8, 77, -120, -39
8, 102, -75, -102
8, 127, -3, -126
8, 151, 67, -107
8, 171, 110, -62
8, 191, 126, -3
8, 216, 32, 70
8, 238, 1, 114
8, 7, -21, 125
8, 30, -85, 94
8, 57, -125, 21
8, 82, -114, -54
8, 106, -65, -108
8, 129, 3, -126
8, 153, 73, -103
8, 179, 120, -39
8, 205, 3, 39
8, 226, -64, 94
8, 254, 0, 126
8, 24, -70, 105
8, 52, -121, 36
8, 80, -117, -48
8, 105, -67, -107
8, 133, 15, -126
8, 157, 82, -96
8, 181, 122, -33
8, 207, 1, 45
8, 232, -1, 105
8, 255, 0, 126
8, 25, -73, 103
8, 53, -122, 33
8, 81, -116, -51
8, 105, -67, -107
8, 133, 15, -126
8, 158, 85, -94
8, 178, 119, -42
8, 206, 0, 42
8, 230, 31, 102
8, 254, 0, 126
8, 19, -57, 113
8, 45, -113, 57
8, 74, -123, -30
8, 98, -85, -94
8, 122, -18, -125
8, 152, 70, -105
8, 175, 116, -51
8, 202, 0, 30
8, 220, 0, 80
8, 241, 0, 118
8, 3, -9, 126
8, 25, -73, 103
8, 55, -123, 27
8, 79, -118, -45
8, 106, -65, -108
8, 134, 18, -125
8, 159, 87, -91
8, 178, 119, -42
8, 202, 0, 30
8, 224, -128, 89
8, 247, 32, 123
8, 15, -45, 118
8, 38, -102, 75
8, 63, -126, 3
8, 86, -108, -65
8, 113, -45, -118
8, 139, 33, -122
8, 164, 98, -80
8, 183, 123, -27
8, 211, 0, 57
8, 234, -63, 108
8, 3, -9, 126
8, 26, -75, 102
8, 59, -126, 15
8, 88, -105, -70
8, 113, -45, -118
8, 141, 39, -120
8, 168, 105, -70
8, 187, 126, -15
8, 210, 4, 54
8, 234, 63, 108
8, 3, -9, 126
8, 27, -78, 100
8, 52, -121, 36
8, 85, -110, -62
8, 112, -48, -117
8, 138, 30, -123
8, 163, 96, -82
8, 185, 125, -21
8, 213, 0, 62
8, 235, -1, 110
8, 5, -15, 126
8, 29, -82, 96
8, 56, -124, 24
8, 84, -112, -59
8, 111, -51, -116
8, 142, 42, -119
8, 164, 98, -80
8, 187, 126, -15
8, 210, 0, 54
8, 235, -1, 110
8, 3, -9, 126
8, 24, -70, 105
8, 52, -121, 36
8, 78, -119, -42
8, 104, -70, -105
8, 130, 6, -126
8, 157, 82, -96
8, 181, 122, -33
8, 212, 0, 59
8, 234, 31, 108
8, 255, -128, 126
8, 30, -85, 94
8, 60, -126, 12
8, 99, -82, -96
8, 126, -6, -126
8, 153, 73, -103
8, 176, 117, -48
8, 198, 0, 18
8, 223, 64, 87
8, 242, -128, 119
8, 10, -30, 123
8, 38, -102, 75
8, 72, -124, -24
8, 102, -75, -102
8, 134, 18, -125
8, 158, 85, -94
8, 183, 123, -27
8, 211, 0, 57
8, 234, 0, 108
8, 1, -3, 126
8, 21, -62, 110
8, 49, -118, 45
8, 74, -123, -30
8, 102, -75, -102
8, 134, 18, -125
8, 159, 87, -91
8, 184, 124, -24
8, 209, 0, 51
8, 232, -95, 105
8, 253, -128, 126
8, 26, -75, 102
8, 63, -126, 3
8, 99, -82, -96
8, 130, 6, -126
8, 154, 75, -102
8, 183, 123, -27
8, 209, 0, 51
8, 238, -32, 114
8, 6, -18, 125
8, 27, -78, 100
8, 53, -122, 33
8, 83, -113, -57
8, 108, -59, -112
8, 141, 39, -120
8, 165, 100, -78
8, 188, 126, -12
8, 216, 0, 70
8, 241, -1, 118
8, 7, -21, 125
8, 30, -85, 94
8, 57, -125, 21
8, 85, -110, -62
8, 113, -45, -118
8, 139, 33, -122
8, 164, 98, -80
8, 189, 126, -9
8, 215, 0, 67
8, 240, 7, 117
8, 5, -15, 126
8, 29, -82, 96
8, 55, -123, 27
8, 77, -120, -39
8, 103, -73, -103
8, 132, 12, -126
8, 158, 85, -94
8, 179, 120, -39
8, 209, 32, 51
8, 234, 0, 108
8, 2, -6, 126
8, 24, -70, 105
8, 53, -122, 33
8, 75, -122, -33
8, 102, -75, -102
8, 133, 15, -126
8, 159, 87, -91
8, 181, 122, -33
8, 206, 0, 42
8, 231, 0, 103
8, 253, 2, 126
8, 20, -59, 112
8, 42, -108, 65
8, 63, -126, 3
8, 83, -113, -57
8, 109, -57, -113
8, 134, 18, -125
8, 158, 85, -94
8, 180, 121, -36
8, 209, 0, 51
8, 230, 1, 102
8, 255, 0, 126
8, 21, -62, 110
8, 43, -110, 62
8, 62, -126, 6
8, 86, -108, -65
8, 106, -65, -108
8, 134, 18, -125
8, 159, 87, -91
8, 180, 121, -36
8, 208, 16, 48
8, 237, 7, 113
8, 3, -9, 126
8, 21, -62, 110
8, 48, -117, 48
8, 72, -124, -24
8, 95, -91, -87
8, 117, -33, -122
8, 152, 70, -105
8, 164, 98, -80
8, 184, 124, -24
8, 216, 0, 70
8, 236, -1, 112
8, 3, -9, 126
8, 21, -62, 110
8, 46, -114, 54
8, 72, -124, -24
8, 96, -89, -89
8, 117, -33, -122
8, 147, 57, -113
8, 164, 98, -80
8, 192, -88, 0
8, 213, 0, 62
8, 227, 7, 96
8, 232, 31, 105
8, 246, 0, 123
8, 10, -30, 123
8, 32, -89, 89
8, 52, -121, 36
8, 85, -110, -62
8, 102, -75, -102
8, 129, 3, -126
8, 152, 70, -105
8, 175, 116, -51
8, 205, 1, 39
8, 230, 0, 102
8, 252, 0, 126
8, 17, -51, 116
8, 42, -108, 65
8, 66, -126, -6
8, 92, -98, -80
8, 113, -45, -118
8, 145, 51, -116
8, 169, 107, -67
8, 194, 64, 6
8, 216, 8, 70
8, 240, -128, 117
8, 13, -39, 120
8, 42, -108, 65
8, 80, -117, -48
8, 109, -57, -113
8, 136, 24, -124
8, 159, 87, -91
8, 178, 119, -42
8, 206, 0, 42
8, 229, 1, 100
8, 252, 64, 126
8, 23, -67, 107
8, 43, -110, 62
8, 63, -126, 3
8, 83, -113, -57
8, 102, -75, -102
8, 129, 3, -126
8, 150, 65, -108
8, 174, 114, -54
8, 204, 0, 36
8, 224, 0, 89
8, 245, 8, 122
8, 13, -39, 120
8, 41, -107, 67
8, 66, -126, -6
8, 90, -102, -75
8, 119, -27, -123
8, 145, 51, -116
8, 170, 108, -65
8, 191, 126, -3
8, 218, 0, 75
8, 241, -1, 118
8, 11, -33, 122
8, 38, -102, 75
8, 67, -126, -9
8, 95, -91, -87
8, 121, -21, -125
8, 155, 78, -100
8, 177, 118, -45
8, 195, 63, 9
8, 221, 0, 82
8, 243, 0, 120
8, 13, -39, 120
